NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Matt Sauer,LAD,RP,,FA,,,28.59,0.0,28.59,1.8,-309.80800000000005,0.0
Luis Patino,SDP,RP,,FA,1,$1.00,-39.64,68.0,28.36,2.77,-310.038,0.0
Ian Gibaut,CIN,RP,,FA,,,-52.96,81.0,28.04,2.68,-310.358,0.0
Dylan Coleman,BAL,RP,,FA,,,27.92,0.0,27.92,1.94,-310.478,0.0
Joe La Sorsa,CIN,RP,,FA,,,-39.3,67.0,27.7,2.41,-310.69800000000004,0.0
Trevor Gott,SEA,RP,,FA,,,-27.0,54.0,27.0,2.35,-311.398,0.0
Alex Young,CIN,RP,,FA,,,-32.13,59.0,26.87,2.15,-311.528,0.0
Andrew Saalfrank,ARI,RP,,FA,,,26.21,0.0,26.21,2.45,-312.18800000000005,0.0
Griff McGarry,PHI,RP,,FA,,,25.01,0.0,25.01,2.14,-313.38800000000003,0.0
Taylor Clarke,KCR,SP/RP,,FA,,,24.66,0.0,24.66,2.36,-313.738,0.0
Geoff Hartlieb,NYY,RP,,FA,,,23.52,0.0,23.52,2.28,-314.87800000000004,0.0
Owen White,CHW,SP/RP,,FA,,,1.68,21.0,22.68,1.77,-315.718,0.0
Jose Cuas,PHI,RP,,FA,,,22.07,0.0,22.07,2.2,-316.32800000000003,0.0
Parker Mushinski,CLE,RP,,FA,,,-32.48,52.0,19.52,1.91,-318.87800000000004,0.0
Spencer Turnbull,,SP/RP,,FA,,,-82.69,181.0,98.31,10.77,-227.629,0.0
Logan Allen,CLE,RP,26.0,Bayou Shooters,2,$1.00,76.83,0.0,76.83,11.27,-249.109,0.0
Domingo German,,SP/RP,,FA,,,66.57,0.0,66.57,9.21,-259.369,0.0
Kyle Muller,,RP,,FA,,,-72.3,133.0,60.7,5.44,-265.239,0.0
Ken Waldichuk,ATH,SP/RP,,Springfield Zephyrs,1,$1.00,-6.65,64.0,57.35,8.75,-268.58899999999994,0.0
Cole Irvin,,SP/RP,,FA,,,-192.78,245.0,52.22,6.86,-273.71899999999994,0.0
Allan Winans,NYY,SP/RP,,FA,,,-31.02,74.0,42.98,4.48,-282.95899999999995,0.0
Logan Evans,SEA,SP/RP,,FA,,,-8.91,47.0,38.09,4.3,-287.84899999999993,0.0
Adrian Houser,TEX,SP/RP,32.0,FA,1,$1.00,-82.41,118.0,35.59,5.46,-290.34899999999993,0.0
Christian Roa,MIA,RP,,FA,,,34.01,0.0,34.01,3.49,-291.929,0.0
Kai-Wei Teng,SFG,SP/RP,,FA,,,33.58,0.0,33.58,3.41,-292.359,0.0
Josh Fleming,SEA,RP,,FA,,,-43.49,77.0,33.51,4.54,-292.429,0.0
Kolby Allard,CLE,SP/RP,,FA,,,-10.99,42.0,31.01,4.56,-294.929,0.0
Josh Winder,ARI,RP,,FA,,,-42.16,73.0,30.84,4.48,-295.099,0.0
Joan Adon,WSN,SP/RP,,FA,,,-7.61,37.0,29.39,3.13,-296.549,0.0
Nick Nelson,,RP,,FA,,,29.32,0.0,29.32,3.22,-296.619,0.0
Grant Hartwig,NYM,RP,,FA,,,-38.26,66.0,27.74,2.99,-298.199,0.0
Darren McCaughan,MIN,SP/RP,,FA,,,-48.67,76.0,27.33,6.5,-298.609,0.0
Lyon Richardson,CIN,SP/RP,,FA,,,0.44,26.0,26.44,2.45,-299.499,0.0
Austin Davis,SDP,RP,,FA,,,-24.7,51.0,26.3,2.94,-299.63899999999995,0.0
Casey Legumina,SEA,RP,,FA,,,-17.87,44.0,26.13,2.72,-299.809,0.0
Matt Festa,TEX,RP,,FA,,,-46.97,73.0,26.03,2.86,-299.909,0.0
Kelvin Caceres,LAA,RP,,FA,,,25.67,0.0,25.67,2.71,-300.26899999999995,0.0
Brad Keller,CHC,RP,,FA,,,-47.07,71.0,23.93,2.88,-302.009,0.0
Clay Helvey,WSN,RP,,FA,,,-68.76,92.0,23.24,2.53,-302.699,0.0
Drew Smith,NYM,RP,,FA,,,7.21,16.0,23.21,2.62,-302.729,0.0
Randy Dobnak,MIN,SP/RP,,FA,,,-17.0,40.0,23.0,2.68,-302.939,0.0
Austin Warren,NYM,RP,,FA,,,-28.34,51.0,22.66,2.47,-303.27899999999994,0.0
Sixto Sanchez,MIA,SP/RP,26.0,FA,1,$1.00,-71.09,93.0,21.91,5.06,-304.02899999999994,0.0
Brandon Bielak,ARI,RP,,FA,,,21.7,0.0,21.7,3.39,-304.239,0.0
Tyler Jay,MIL,RP,,FA,,,-21.67,43.0,21.33,2.85,-304.609,0.0
Tommy Doyle,COL,RP,,FA,,,20.96,0.0,20.96,2.27,-304.979,0.0
Alex Speas,MIN,RP,,FA,,,20.94,0.0,20.94,2.57,-304.999,0.0
Joel Kuhnel,PHI,RP,,FA,,,-37.36,58.0,20.64,2.18,-305.299,0.0
Andrew Wantz,TBR,SP/RP,,FA,,,-1.77,22.0,20.23,3.15,-305.70899999999995,0.0
Ray Kerr,ATL,RP,,FA,,,20.18,0.0,20.18,3.29,-305.759,0.0
Jeff Brigham,ARI,RP,,FA,,,20.06,0.0,20.06,2.38,-305.879,0.0
Ryder Ryan,PIT,RP,,FA,,,-26.33,46.0,19.67,2.44,-306.26899999999995,0.0
J.B. Bukauskas,MIL,RP,,FA,,,-29.63,49.0,19.37,2.19,-306.569,0.0
Michael Arias,NYY,RP,,FA,,,-24.76,44.0,19.24,2.11,-306.699,0.0
Nick Vespi,PHI,RP,,FA,,,-55.16,74.0,18.84,2.36,-307.099,0.0
Joe Jacques,LAD,RP,,FA,,,-41.65,60.0,18.35,2.03,-307.58899999999994,0.0
Dane Acker,TEX,SP/RP,,FA,,,18.32,0.0,18.32,6.01,-307.619,0.0
Rob Zastryzny,NYY,RP,,FA,,,-47.0,65.0,18.0,2.14,-307.939,0.0
Bruce Zimmermann,MIL,SP/RP,,FA,,,17.74,0.0,17.74,4.17,-308.199,0.0
Ricky Vanasco,DET,RP,,FA,,,-30.28,48.0,17.72,3.62,-308.21899999999994,0.0
Nabil Crismatt,PHI,SP/RP,,FA,,,-27.62,45.0,17.38,3.11,-308.559,0.0
Tejay Antone,CIN,RP,,FA,,,-18.45,35.0,16.55,1.96,-309.38899999999995,0.0
Sean Newcomb,BOS,RP,,FA,,,-32.12,48.0,15.88,3.49,-310.059,0.0
Chasen Shreve,ATL,RP,,FA,,,-39.66,55.0,15.34,2.35,-310.599,0.0
Kirby Snead,,RP,,FA,,,14.96,0.0,14.96,2.18,-310.979,0.0
